time_ms,ax_raw_mps2,ay_raw_mps2,az_raw_mps2,ax_kf_mps2,ay_kf_mps2,az_kf_mps2,vx_2state_kf_lightlpf_mps,vy_2state_kf_lightlpf_mps,vz_2state_kf_lightlpf_mps,v_mag
369273.000000,-0.110000,0.110000,0.000000,-0.000008,0.000000,0.000001,0.002586,-0.001110,-0.005246,0.005953
369287.000000,-0.100000,0.130000,0.000000,-0.000005,0.000000,0.000000,0.002709,-0.001028,-0.005435,0.006160
369301.000000,-0.130000,0.090000,0.040000,-0.000003,0.000000,0.000000,0.002591,-0.001094,-0.005229,0.005937
369318.000000,-0.120000,0.100000,0.010000,-0.000002,0.000000,0.000000,0.002413,-0.001059,-0.004936,0.005596
369334.000000,-0.170000,0.060000,0.000000,-0.066367,0.000000,0.000000,0.006412,-0.001180,-0.004821,0.008108
369359.000000,-0.090000,0.100000,0.000000,-0.040458,0.000000,0.000000,0.013802,-0.000924,-0.004005,0.014401
369371.000000,-0.100000,0.100000,0.000000,-0.024664,0.000000,0.000000,0.017429,-0.000951,-0.004306,0.017978
369388.000000,-0.100000,0.130000,-0.030000,-0.015035,0.000000,0.000000,0.022602,-0.000856,-0.004638,0.023088
369404.000000,-0.120000,0.110000,0.000000,-0.009166,0.000000,0.000000,0.027256,-0.000847,-0.004568,0.027649
369418.000000,-0.110000,0.080000,0.010000,-0.005588,0.000000,0.000000,0.002706,-0.000976,-0.004550,0.005383
369434.000000,-0.110000,0.100000,0.000000,-0.003406,0.000000,0.000000,0.002150,-0.000968,-0.004469,0.005053
369448.000000,-0.110000,0.120000,0.000000,-0.002076,0.000000,0.000000,0.002148,-0.000881,-0.004446,0.005016
369464.000000,-0.090000,0.110000,0.000000,-0.001266,0.000000,0.000000,0.002197,-0.000839,-0.004339,0.004936
369478.000000,-0.100000,0.100000,-0.020000,-0.000772,0.000000,0.000000,0.002200,-0.000865,-0.004376,0.004974
369494.000000,-0.110000,0.080000,0.000000,-0.000470,0.000000,0.000000,0.002110,-0.000944,-0.004239,0.004828
369508.000000,-0.100000,0.070000,0.010000,-0.000287,0.000000,0.000000,0.002104,-0.001031,-0.004140,0.004757
369522.000000,-0.110000,0.100000,0.020000,-0.000175,0.000000,0.000000,0.002076,-0.000974,-0.004060,0.004663
369538.000000,-0.110000,0.110000,-0.030000,-0.000107,0.000000,0.000000,0.001985,-0.000853,-0.004063,0.004602
369555.000000,-0.090000,0.070000,0.000000,-0.000065,0.000000,0.000000,0.001949,-0.000909,-0.003843,0.004404
369569.000000,-0.110000,0.090000,0.000000,-0.000040,0.000000,0.000000,0.001918,-0.000906,-0.003820,0.004370
369586.000000,-0.120000,0.100000,-0.010000,-0.000024,0.000000,0.000000,0.001794,-0.000829,-0.003729,0.004220
369600.000000,-0.120000,0.120000,-0.030000,-0.000015,0.000000,0.000000,0.001754,-0.000725,-0.003812,0.004258
369617.000000,-0.090000,0.100000,0.000000,-0.000009,0.000000,0.000000,0.001793,-0.000711,-0.003636,0.004116
369631.000000,-0.100000,0.100000,0.010000,-0.000005,0.000000,0.000000,0.001814,-0.000726,-0.003549,0.004051
369650.000000,-0.120000,0.090000,-0.020000,-0.000003,0.000000,0.000000,0.001625,-0.000727,-0.003377,0.003818
369668.000000,-0.110000,0.100000,0.000000,-0.000002,0.000000,0.000000,0.001554,-0.000688,-0.003214,0.003636
369685.000000,-0.120000,0.080000,-0.010000,-0.000001,0.000000,0.000000,0.001508,-0.000746,-0.003206,0.003621
369699.000000,-0.100000,0.080000,0.010000,-0.000001,0.000000,0.000000,0.001599,-0.000805,-0.003227,0.003690
369716.000000,-0.130000,0.090000,0.000000,-0.000000,0.000000,0.000000,0.001494,-0.000772,-0.003160,0.003579
369730.000000,-0.130000,0.130000,0.010000,-0.000000,0.000000,0.000000,0.001446,-0.000614,-0.003132,0.003504
369747.000000,-0.120000,0.080000,-0.010000,-0.000000,0.000000,0.000000,0.001412,-0.000675,-0.003090,0.003464
369761.000000,-0.100000,0.100000,0.000000,-0.000000,0.000000,0.000000,0.001493,-0.000667,-0.003083,0.003490
369776.000000,-0.100000,0.050000,0.010000,-0.000000,0.000000,0.000000,0.001546,-0.000840,-0.003029,0.003503
369790.000000,-0.120000,0.100000,0.000000,-0.000000,0.000000,0.000000,0.001490,-0.000764,-0.003019,0.003452
